t_read_host_s,line_text
0.4431826,"HELLO_EVENT,Nano33IoT_Command_Path_V1,1000000,4254251050"
1.2049202,"RX_EVENT,0,0,4255008875,32768,32768,32768,32768"
1.2049202,"OK_EVENT,SET_NEUTRAL"
1.2209364,"COMMIT_EVENT,0,0,4255008875,4255022249,212599,1500,1500,1500,1500,1500,1500,1500,1500"
6.5907069,"RX_EVENT,0,0,4260380219,32768,32768,32768,32768"
6.5907069,"COMMIT_EVENT,0,0,4260380219,4260382250,212867,1500,1500,1500,1500,1500,1500,1500,1500"
6.6227029,"RX_EVENT,1,0,4260411084,32768,32768,32768,32768"
6.6227029,"COMMIT_EVENT,1,0,4260411084,4260422249,212869,1500,1500,1500,1500,1500,1500,1500,1500"
6.6523017,"RX_EVENT,2,0,4260442830,32768,32768,32768,32768"
6.6523017,"COMMIT_EVENT,2,0,4260442830,4260462249,212871,1500,1500,1500,1500,1500,1500,1500,1500"
6.6859592,"RX_EVENT,3,0,4260472570,32768,32768,32768,32768"
6.6859592,"COMMIT_EVENT,3,0,4260472570,4260482249,212872,1500,1500,1500,1500,1500,1500,1500,1500"
6.7181522,"RX_EVENT,4,0,4260506217,32768,32768,32768,32768"
6.7181522,"COMMIT_EVENT,4,0,4260506217,4260522249,212874,1500,1500,1500,1500,1500,1500,1500,1500"
6.7497458,"RX_EVENT,5,0,4260538341,32768,32768,32768,32768"
6.7497458,"COMMIT_EVENT,5,0,4260538341,4260542249,212875,1500,1500,1500,1500,1500,1500,1500,1500"
6.786054,"RX_EVENT,6,0,4260569966,32768,32768,32768,32768"
6.786054,"COMMIT_EVENT,6,0,4260569966,4260582249,212877,1500,1500,1500,1500,1500,1500,1500,1500"
6.8216441,"RX_EVENT,7,0,4260606478,32768,32768,32768,32768"
6.8216441,"COMMIT_EVENT,7,0,4260606478,4260622249,212879,1500,1500,1500,1500,1500,1500,1500,1500"
6.8592264,"RX_EVENT,8,0,4260642237,32768,32768,32768,32768"
