t_read_host_s,line_text
0.5625002,"HELLO_EVENT,Nano33IoT_Command_Path_V1,1000000,3779969624"
1.3349751,"RX_EVENT,0,0,3780728325,32768,32768,32768,32768"
1.3349751,"OK_EVENT,SET_NEUTRAL"
1.3349751,"COMMIT_EVENT,0,0,3780728325,3780742249,188885,1500,1500,1500,1500,1500,1500,1500,1500"
6.7237007,"RX_EVENT,0,0,3786109977,32768,32768,32768,32768"
6.7237007,"COMMIT_EVENT,0,0,3786109977,3786122249,189154,1500,1500,1500,1500,1500,1500,1500,1500"
6.7564684,"RX_EVENT,1,0,3786141316,32768,32768,32768,32768"
6.7564684,"COMMIT_EVENT,1,0,3786141316,3786142249,189155,1500,1500,1500,1500,1500,1500,1500,1500"
6.7891644,"RX_EVENT,2,0,3786174150,32768,32768,32768,32768"
6.7891644,"COMMIT_EVENT,2,0,3786174150,3786182249,189157,1500,1500,1500,1500,1500,1500,1500,1500"
6.8280257,"RX_EVENT,3,0,3786206914,32768,32768,32768,32768"
6.8280257,"COMMIT_EVENT,3,0,3786206914,3786222249,189159,1500,1500,1500,1500,1500,1500,1500,1500"
6.8627569,"RX_EVENT,4,0,3786245845,32768,32768,32768,32768"
6.8627569,"COMMIT_EVENT,4,0,3786245845,3786262249,189161,1500,1500,1500,1500,1500,1500,1500,1500"
6.8917261,"RX_EVENT,5,0,3786280492,32768,32768,32768,32768"
6.8917261,"COMMIT_EVENT,5,0,3786280492,3786282249,189162,1500,1500,1500,1500,1500,1500,1500,1500"
6.9268002,"RX_EVENT,6,0,3786309434,32768,32768,32768,32768"
6.9268002,"COMMIT_EVENT,6,0,3786309434,3786322249,189164,1500,1500,1500,1500,1500,1500,1500,1500"
6.9576147,"RX_EVENT,7,0,3786344593,32768,32768,32768,32768"
6.9576147,"COMMIT_EVENT,7,0,3786344593,3786362250,189166,1500,1500,1500,1500,1500,1500,1500,1500"
6.9867919,"RX_EVENT,8,0,3786375277,32768,32768,32768,32768"
6.9867919,"COMMIT_EVENT,8,0,3786375277,3786382249,189167,1500,1500,1500,1500,1500,1500,1500,1500"
7.0163782,"RX_EVENT,9,0,3786404358,32768,32768,32768,32768"
7.0163782,"COMMIT_EVENT,9,0,3786404358,3786422250,189169,1500,1500,1500,1500,1500,1500,1500,1500"
7.0517632,"RX_EVENT,10,0,3786434043,32768,32768,32768,32768"
7.0517632,"COMMIT_EVENT,10,0,3786434043,3786442249,189170,1500,1500,1500,1500,1500,1500,1500,1500"
7.0839404,"RX_EVENT,11,0,3786469584,32768,32768,32768,32768"
7.0839404,"COMMIT_EVENT,11,0,3786469584,3786482249,189172,1500,1500,1500,1500,1500,1500,1500,1500"
7.1191755,"RX_EVENT,12,0,3786501636,32768,32768,32768,32768"
7.1191755,"COMMIT_EVENT,12,0,3786501636,3786502249,189173,1500,1500,1500,1500,1500,1500,1500,1500"
7.1580518,"RX_EVENT,13,0,3786537168,32768,32768,32768,32768"
7.1580518,"COMMIT_EVENT,13,0,3786537168,3786542249,189175,1500,1500,1500,1500,1500,1500,1500,1500"
7.1950388,"RX_EVENT,14,0,3786575995,32768,32768,32768,32768"
7.1950388,"COMMIT_EVENT,14,0,3786575995,3786582249,189177,1500,1500,1500,1500,1500,1500,1500,1500"
7.2332348,"RX_EVENT,15,0,3786613009,32768,32768,32768,32768"
7.2332348,"COMMIT_EVENT,15,0,3786613009,3786622249,189179,1500,1500,1500,1500,1500,1500,1500,1500"
7.2722776,"RX_EVENT,16,0,3786651259,32768,32768,32768,32768"
7.2722776,"COMMIT_EVENT,16,0,3786651259,3786662249,189181,1500,1500,1500,1500,1500,1500,1500,1500"
7.3104088,"RX_EVENT,17,0,3786690209,32768,32768,32768,32768"
7.3104088,"COMMIT_EVENT,17,0,3786690209,3786702249,189183,1500,1500,1500,1500,1500,1500,1500,1500"
7.3450848,"RX_EVENT,18,0,3786728104,32768,32768,32768,32768"
7.3450848,"COMMIT_EVENT,18,0,3786728104,3786742249,189185,1500,1500,1500,1500,1500,1500,1500,1500"
7.3928964,"RX_EVENT,19,0,3786763485,32768,32768,32768,32768"
7.3928964,"COMMIT_EVENT,19,0,3786763485,3786782249,189187,1500,1500,1500,1500,1500,1500,1500,1500"
7.4275873,"RX_EVENT,20,0,3786810910,32768,32768,32768,32768"
7.4275873,"COMMIT_EVENT,20,0,3786810910,3786822249,189189,1500,1500,1500,1500,1500,1500,1500,1500"
7.4717786,"RX_EVENT,21,0,3786845578,32768,32768,32768,32768"
7.4717786,"COMMIT_EVENT,21,0,3786845578,3786862249,189191,1500,1500,1500,1500,1500,1500,1500,1500"
7.5393969,"RX_EVENT,22,0,3786890055,32768,32768,32768,32768"
7.5393969,"COMMIT_EVENT,22,0,3786890055,3786902249,189193,1500,1500,1500,1500,1500,1500,1500,1500"
7.6146429,"RX_EVENT,23,0,3786960082,32768,32768,32768,32768"
7.6146429,"COMMIT_EVENT,23,0,3786960082,3786962249,189196,1500,1500,1500,1500,1500,1500,1500,1500"
7.6755414,"RX_EVENT,24,0,3787033760,32768,32768,32768,32768"
7.6755414,"COMMIT_EVENT,24,0,3787033760,3787042249,189200,1500,1500,1500,1500,1500,1500,1500,1500"
7.7327679,"RX_EVENT,25,0,3787094265,32768,32768,32768,32768"
7.7327679,"COMMIT_EVENT,25,0,3787094265,3787102249,189203,1500,1500,1500,1500,1500,1500,1500,1500"
7.7825489,"RX_EVENT,26,0,3787151151,32768,32768,32768,32768"
7.7825489,"COMMIT_EVENT,26,0,3787151151,3787162249,189206,1500,1500,1500,1500,1500,1500,1500,1500"
7.8317128,"RX_EVENT,27,0,3787201019,32768,32768,32768,32768"
7.8317128,"COMMIT_EVENT,27,0,3787201019,3787202249,189208,1500,1500,1500,1500,1500,1500,1500,1500"
7.9083595,"RX_EVENT,28,0,3787249783,32768,32768,32768,32768"
7.9083595,"COMMIT_EVENT,28,0,3787249783,3787262249,189211,1500,1500,1500,1500,1500,1500,1500,1500"
7.9801459,"RX_EVENT,29,0,3787328044,32768,32768,32768,32768"
7.9801459,"COMMIT_EVENT,29,0,3787328044,3787342249,189215,1500,1500,1500,1500,1500,1500,1500,1500"
