event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
1,1,Aileron_L,0,14.9767592,16.2267592,positive_first,positive,outbound,1,9
2,1,Aileron_L,0.25,16.2267592,17.4767592,positive_first,positive,outbound,2,9
3,1,Aileron_L,0.5,17.4767592,18.7267592,positive_first,positive,outbound,3,9
4,1,Aileron_L,0.75,18.7267592,19.9767592,positive_first,positive,outbound,4,9
5,1,Aileron_L,1,19.9767592,21.2267592,positive_first,positive,outbound,5,9
6,1,Aileron_L,0.75,21.2267592,22.4767592,positive_first,positive,return,6,9
7,1,Aileron_L,0.5,22.4767592,23.7267592,positive_first,positive,return,7,9
8,1,Aileron_L,0.25,23.7267592,24.9767592,positive_first,positive,return,8,9
9,1,Aileron_L,0,24.9767592,26.2267592,positive_first,positive,return,9,9
10,1,Aileron_L,-0,26.2267592,27.4767592,positive_first,negative,outbound,1,9
11,1,Aileron_L,-0.25,27.4767592,28.7267592,positive_first,negative,outbound,2,9
12,1,Aileron_L,-0.5,28.7267592,29.9767592,positive_first,negative,outbound,3,9
13,1,Aileron_L,-0.75,29.9767592,31.2267592,positive_first,negative,outbound,4,9
14,1,Aileron_L,-1,31.2267592,32.4767592,positive_first,negative,outbound,5,9
15,1,Aileron_L,-0.75,32.4767592,33.7267592,positive_first,negative,return,6,9
16,1,Aileron_L,-0.5,33.7267592,34.9767592,positive_first,negative,return,7,9
17,1,Aileron_L,-0.25,34.9767592,36.2267592,positive_first,negative,return,8,9
18,1,Aileron_L,-0,36.2267592,37.4767592,positive_first,negative,return,9,9
19,1,Aileron_L,-0,37.4767592,38.7267592,negative_first,negative,outbound,1,9
20,1,Aileron_L,-0.25,38.7267592,39.9767592,negative_first,negative,outbound,2,9
21,1,Aileron_L,-0.5,39.9767592,41.2267592,negative_first,negative,outbound,3,9
22,1,Aileron_L,-0.75,41.2267592,42.4767592,negative_first,negative,outbound,4,9
23,1,Aileron_L,-1,42.4767592,43.7267592,negative_first,negative,outbound,5,9
