event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
1,1,Aileron_L,0,11.1911656,13.1911656,positive_first,positive,outbound,1,11
2,1,Aileron_L,0.2,13.1911656,15.1911656,positive_first,positive,outbound,2,11
3,1,Aileron_L,0.4,15.1911656,17.1911656,positive_first,positive,outbound,3,11
4,1,Aileron_L,0.6,17.1911656,19.1911656,positive_first,positive,outbound,4,11
5,1,Aileron_L,0.8,19.1911656,21.1911656,positive_first,positive,outbound,5,11
6,1,Aileron_L,1,21.1911656,23.1911656,positive_first,positive,outbound,6,11
7,1,Aileron_L,0.8,23.1911656,25.1911656,positive_first,positive,return,7,11
8,1,Aileron_L,0.6,25.1911656,27.1911656,positive_first,positive,return,8,11
9,1,Aileron_L,0.4,27.1911656,29.1911656,positive_first,positive,return,9,11
10,1,Aileron_L,0.2,29.1911656,31.1911656,positive_first,positive,return,10,11
11,1,Aileron_L,0,31.1911656,33.1911656,positive_first,positive,return,11,11
12,1,Aileron_L,-0,33.1911656,35.1911656,positive_first,negative,outbound,1,11
13,1,Aileron_L,-0.2,35.1911656,37.1911656,positive_first,negative,outbound,2,11
14,1,Aileron_L,-0.4,37.1911656,39.1911656,positive_first,negative,outbound,3,11
15,1,Aileron_L,-0.6,39.1911656,41.1911656,positive_first,negative,outbound,4,11
16,1,Aileron_L,-0.8,41.1911656,43.1911656,positive_first,negative,outbound,5,11
17,1,Aileron_L,-1,43.1911656,45.1911656,positive_first,negative,outbound,6,11
18,1,Aileron_L,-0.8,45.1911656,47.1911656,positive_first,negative,return,7,11
19,1,Aileron_L,-0.6,47.1911656,49.1911656,positive_first,negative,return,8,11
20,1,Aileron_L,-0.4,49.1911656,51.1911656,positive_first,negative,return,9,11
21,1,Aileron_L,-0.2,51.1911656,53.1911656,positive_first,negative,return,10,11
22,1,Aileron_L,-0,53.1911656,55.1911656,positive_first,negative,return,11,11
23,1,Aileron_L,-0,55.1911656,57.1911656,negative_first,negative,outbound,1,11
24,1,Aileron_L,-0.2,57.1911656,59.1911656,negative_first,negative,outbound,2,11
25,1,Aileron_L,-0.4,59.1911656,61.1911656,negative_first,negative,outbound,3,11
26,1,Aileron_L,-0.6,61.1911656,63.1911656,negative_first,negative,outbound,4,11
27,1,Aileron_L,-0.8,63.1911656,65.1911656,negative_first,negative,outbound,5,11
28,1,Aileron_L,-1,65.1911656,67.1911656,negative_first,negative,outbound,6,11
29,1,Aileron_L,-0.8,67.1911656,69.1911656,negative_first,negative,return,7,11
30,1,Aileron_L,-0.6,69.1911656,71.1911656,negative_first,negative,return,8,11
31,1,Aileron_L,-0.4,71.1911656,73.1911656,negative_first,negative,return,9,11
32,1,Aileron_L,-0.2,73.1911656,75.1911656,negative_first,negative,return,10,11
33,1,Aileron_L,-0,75.1911656,77.1911656,negative_first,negative,return,11,11
34,1,Aileron_L,0,77.1911656,79.1911656,negative_first,positive,outbound,1,11
35,1,Aileron_L,0.2,79.1911656,81.1911656,negative_first,positive,outbound,2,11
36,1,Aileron_L,0.4,81.1911656,83.1911656,negative_first,positive,outbound,3,11
37,1,Aileron_L,0.6,83.1911656,85.1911656,negative_first,positive,outbound,4,11
38,1,Aileron_L,0.8,85.1911656,87.1911656,negative_first,positive,outbound,5,11
39,1,Aileron_L,1,87.1911656,89.1911656,negative_first,positive,outbound,6,11
40,1,Aileron_L,0.8,89.1911656,91.1911656,negative_first,positive,return,7,11
41,1,Aileron_L,0.6,91.1911656,93.1911656,negative_first,positive,return,8,11
42,1,Aileron_L,0.4,93.1911656,95.1911656,negative_first,positive,return,9,11
43,1,Aileron_L,0.2,95.1911656,97.1911656,negative_first,positive,return,10,11
44,1,Aileron_L,0,97.1911656,99.1911656,negative_first,positive,return,11,11
45,2,Aileron_R,0,99.1911656,101.1911656,positive_first,positive,outbound,1,11
46,2,Aileron_R,0.2,101.1911656,103.1911656,positive_first,positive,outbound,2,11
47,2,Aileron_R,0.4,103.1911656,105.1911656,positive_first,positive,outbound,3,11
48,2,Aileron_R,0.6,105.1911656,107.1911656,positive_first,positive,outbound,4,11
49,2,Aileron_R,0.8,107.1911656,109.1911656,positive_first,positive,outbound,5,11
50,2,Aileron_R,1,109.1911656,111.1911656,positive_first,positive,outbound,6,11
51,2,Aileron_R,0.8,111.1911656,113.1911656,positive_first,positive,return,7,11
52,2,Aileron_R,0.6,113.1911656,115.1911656,positive_first,positive,return,8,11
53,2,Aileron_R,0.4,115.1911656,117.1911656,positive_first,positive,return,9,11
54,2,Aileron_R,0.2,117.1911656,119.1911656,positive_first,positive,return,10,11
55,2,Aileron_R,0,119.1911656,121.1911656,positive_first,positive,return,11,11
56,2,Aileron_R,-0,121.1911656,123.1911656,positive_first,negative,outbound,1,11
57,2,Aileron_R,-0.2,123.1911656,125.1911656,positive_first,negative,outbound,2,11
58,2,Aileron_R,-0.4,125.1911656,127.1911656,positive_first,negative,outbound,3,11
59,2,Aileron_R,-0.6,127.1911656,129.1911656,positive_first,negative,outbound,4,11
60,2,Aileron_R,-0.8,129.1911656,131.1911656,positive_first,negative,outbound,5,11
61,2,Aileron_R,-1,131.1911656,133.1911656,positive_first,negative,outbound,6,11
62,2,Aileron_R,-0.8,133.1911656,135.1911656,positive_first,negative,return,7,11
63,2,Aileron_R,-0.6,135.1911656,137.1911656,positive_first,negative,return,8,11
64,2,Aileron_R,-0.4,137.1911656,139.1911656,positive_first,negative,return,9,11
65,2,Aileron_R,-0.2,139.1911656,141.1911656,positive_first,negative,return,10,11
66,2,Aileron_R,-0,141.1911656,143.1911656,positive_first,negative,return,11,11
67,2,Aileron_R,-0,143.1911656,145.1911656,negative_first,negative,outbound,1,11
68,2,Aileron_R,-0.2,145.1911656,147.1911656,negative_first,negative,outbound,2,11
69,2,Aileron_R,-0.4,147.1911656,149.1911656,negative_first,negative,outbound,3,11
70,2,Aileron_R,-0.6,149.1911656,151.1911656,negative_first,negative,outbound,4,11
71,2,Aileron_R,-0.8,151.1911656,153.1911656,negative_first,negative,outbound,5,11
72,2,Aileron_R,-1,153.1911656,155.1911656,negative_first,negative,outbound,6,11
73,2,Aileron_R,-0.8,155.1911656,157.1911656,negative_first,negative,return,7,11
74,2,Aileron_R,-0.6,157.1911656,159.1911656,negative_first,negative,return,8,11
75,2,Aileron_R,-0.4,159.1911656,161.1911656,negative_first,negative,return,9,11
76,2,Aileron_R,-0.2,161.1911656,163.1911656,negative_first,negative,return,10,11
77,2,Aileron_R,-0,163.1911656,165.1911656,negative_first,negative,return,11,11
78,2,Aileron_R,0,165.1911656,167.1911656,negative_first,positive,outbound,1,11
79,2,Aileron_R,0.2,167.1911656,169.1911656,negative_first,positive,outbound,2,11
80,2,Aileron_R,0.4,169.1911656,171.1911656,negative_first,positive,outbound,3,11
81,2,Aileron_R,0.6,171.1911656,173.1911656,negative_first,positive,outbound,4,11
82,2,Aileron_R,0.8,173.1911656,175.1911656,negative_first,positive,outbound,5,11
83,2,Aileron_R,1,175.1911656,177.1911656,negative_first,positive,outbound,6,11
84,2,Aileron_R,0.8,177.1911656,179.1911656,negative_first,positive,return,7,11
85,2,Aileron_R,0.6,179.1911656,181.1911656,negative_first,positive,return,8,11
86,2,Aileron_R,0.4,181.1911656,183.1911656,negative_first,positive,return,9,11
87,2,Aileron_R,0.2,183.1911656,185.1911656,negative_first,positive,return,10,11
88,2,Aileron_R,0,185.1911656,187.1911656,negative_first,positive,return,11,11
89,3,Rudder,0,187.1911656,189.1911656,positive_first,positive,outbound,1,11
90,3,Rudder,0.2,189.1911656,191.1911656,positive_first,positive,outbound,2,11
