sample_index,sample_sequence,event_id,scheduled_time_s,write_start_host_s,write_stop_host_s,active_surface_index,active_surface_name,active_surface_mask,surface_norm_aileron_l,surface_norm_aileron_r,surface_norm_rudder,surface_norm_elevator,packet_surface_norm_aileron_l,packet_surface_norm_aileron_r,packet_surface_norm_rudder,packet_surface_norm_elevator,packet_code_aileron_l,packet_code_aileron_r,packet_code_rudder,packet_code_elevator,delta_a_cmd_rad,delta_e_cmd_rad,delta_r_cmd_rad,profile_mode,random_seed,description
1,0,NaN,6.2685567,6.3059276,6.308269,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
2,1,NaN,6.2885567,6.3396452,6.3408247,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
3,2,NaN,6.3285567,6.3662954,6.3677646,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
4,3,NaN,6.3485567,6.4014484,6.4026076,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
5,4,NaN,6.3885567,6.4220106,6.4236342,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
6,5,NaN,6.4085567,6.4470456,6.4482876,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
7,6,NaN,6.4285567,6.46854,6.4699219,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
8,7,NaN,6.4485567,6.4892023,6.4901058,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
9,8,NaN,6.4885567,6.5052911,6.506279,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
10,9,NaN,6.5085567,6.5225703,6.5235074,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
11,10,NaN,6.52855669999999,6.5379476,6.5389543,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
12,11,NaN,6.54855669999999,6.5550941,6.5560876,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
13,12,NaN,6.56855669999999,6.5707565,6.5716071,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
