sample_index,sample_sequence,event_id,scheduled_time_s,write_start_host_s,write_stop_host_s,active_surface_index,active_surface_name,active_surface_mask,surface_norm_aileron_l,surface_norm_aileron_r,surface_norm_rudder,surface_norm_elevator,packet_surface_norm_aileron_l,packet_surface_norm_aileron_r,packet_surface_norm_rudder,packet_surface_norm_elevator,packet_code_aileron_l,packet_code_aileron_r,packet_code_rudder,packet_code_elevator,delta_a_cmd_rad,delta_e_cmd_rad,delta_r_cmd_rad,profile_mode,random_seed,description
1,0,NaN,6.2805445,6.3709854,6.3727946,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
2,1,NaN,6.3105445,6.4078031,6.4096854,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
3,2,NaN,6.4005445,6.4377245,6.4390316,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
4,3,NaN,6.4305445,6.4625341,6.4636533,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
5,4,NaN,6.4605445,6.482251,6.4835808,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
6,5,NaN,6.4755445,6.5057647,6.5072291,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
7,6,NaN,6.4905445,6.528492,6.5296602,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
8,7,NaN,6.5205445,6.5545338,6.5562812,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
9,8,NaN,6.5505445,6.5815868,6.582657,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
10,9,NaN,6.5805445,6.6044166,6.6053852,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
