event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
1,1,Aileron_L,0,11.2803461,12.5303461,positive_first,positive,outbound,1,11
2,1,Aileron_L,0.15,12.5303461,13.7803461,positive_first,positive,outbound,2,11
3,1,Aileron_L,0.3,13.7803461,15.0303461,positive_first,positive,outbound,3,11
4,1,Aileron_L,0.5,15.0303461,16.2803461,positive_first,positive,outbound,4,11
5,1,Aileron_L,0.75,16.2803461,17.5303461,positive_first,positive,outbound,5,11
6,1,Aileron_L,1,17.5303461,18.7803461,positive_first,positive,outbound,6,11
7,1,Aileron_L,0.75,18.7803461,20.0303461,positive_first,positive,return,7,11
8,1,Aileron_L,0.5,20.0303461,21.2803461,positive_first,positive,return,8,11
9,1,Aileron_L,0.3,21.2803461,22.5303461,positive_first,positive,return,9,11
10,1,Aileron_L,0.15,22.5303461,23.7803461,positive_first,positive,return,10,11
11,1,Aileron_L,0,23.7803461,25.0303461,positive_first,positive,return,11,11
12,1,Aileron_L,-0,25.0303461,26.2803461,positive_first,negative,outbound,1,11
13,1,Aileron_L,-0.15,26.2803461,27.5303461,positive_first,negative,outbound,2,11
14,1,Aileron_L,-0.3,27.5303461,28.7803461,positive_first,negative,outbound,3,11
15,1,Aileron_L,-0.5,28.7803461,30.0303461,positive_first,negative,outbound,4,11
16,1,Aileron_L,-0.75,30.0303461,31.2803461,positive_first,negative,outbound,5,11
17,1,Aileron_L,-1,31.2803461,32.5303461,positive_first,negative,outbound,6,11
18,1,Aileron_L,-0.75,32.5303461,33.7803461,positive_first,negative,return,7,11
19,1,Aileron_L,-0.5,33.7803461,35.0303461,positive_first,negative,return,8,11
20,1,Aileron_L,-0.3,35.0303461,36.2803461,positive_first,negative,return,9,11
21,1,Aileron_L,-0.15,36.2803461,37.5303461,positive_first,negative,return,10,11
22,1,Aileron_L,-0,37.5303461,38.7803461,positive_first,negative,return,11,11
23,1,Aileron_L,-0,38.7803461,40.0303461,negative_first,negative,outbound,1,11
24,1,Aileron_L,-0.15,40.0303461,41.2803461,negative_first,negative,outbound,2,11
25,1,Aileron_L,-0.3,41.2803461,42.5303461,negative_first,negative,outbound,3,11
26,1,Aileron_L,-0.5,42.5303461,43.7803461,negative_first,negative,outbound,4,11
27,1,Aileron_L,-0.75,43.7803461,45.0303461,negative_first,negative,outbound,5,11
28,1,Aileron_L,-1,45.0303461,46.2803461,negative_first,negative,outbound,6,11
29,1,Aileron_L,-0.75,46.2803461,47.5303461,negative_first,negative,return,7,11
30,1,Aileron_L,-0.5,47.5303461,48.7803461,negative_first,negative,return,8,11
31,1,Aileron_L,-0.3,48.7803461,50.0303461,negative_first,negative,return,9,11
32,1,Aileron_L,-0.15,50.0303461,51.2803461,negative_first,negative,return,10,11
33,1,Aileron_L,-0,51.2803461,52.5303461,negative_first,negative,return,11,11
34,1,Aileron_L,0,52.5303461,53.7803461,negative_first,positive,outbound,1,11
35,1,Aileron_L,0.15,53.7803461,55.0303461,negative_first,positive,outbound,2,11
36,1,Aileron_L,0.3,55.0303461,56.2803461,negative_first,positive,outbound,3,11
37,1,Aileron_L,0.5,56.2803461,57.5303461,negative_first,positive,outbound,4,11
38,1,Aileron_L,0.75,57.5303461,58.7803461,negative_first,positive,outbound,5,11
39,1,Aileron_L,1,58.7803461,60.0303461,negative_first,positive,outbound,6,11
40,1,Aileron_L,0.75,60.0303461,61.2803461,negative_first,positive,return,7,11
41,1,Aileron_L,0.5,61.2803461,62.5303461,negative_first,positive,return,8,11
42,1,Aileron_L,0.3,62.5303461,63.7803461,negative_first,positive,return,9,11
43,1,Aileron_L,0.15,63.7803461,65.0303461,negative_first,positive,return,10,11
44,1,Aileron_L,0,65.0303461,66.2803461,negative_first,positive,return,11,11
45,2,Aileron_R,0,66.2803461,67.5303461,positive_first,positive,outbound,1,11
46,2,Aileron_R,0.15,67.5303461,68.7803461,positive_first,positive,outbound,2,11
47,2,Aileron_R,0.3,68.7803461,70.0303461,positive_first,positive,outbound,3,11
48,2,Aileron_R,0.5,70.0303461,71.2803461,positive_first,positive,outbound,4,11
49,2,Aileron_R,0.75,71.2803461,72.5303461,positive_first,positive,outbound,5,11
50,2,Aileron_R,1,72.5303461,73.7803461,positive_first,positive,outbound,6,11
51,2,Aileron_R,0.75,73.7803461,75.0303461,positive_first,positive,return,7,11
52,2,Aileron_R,0.5,75.0303461,76.2803461,positive_first,positive,return,8,11
53,2,Aileron_R,0.3,76.2803461,77.5303461,positive_first,positive,return,9,11
54,2,Aileron_R,0.15,77.5303461,78.7803461,positive_first,positive,return,10,11
55,2,Aileron_R,0,78.7803461,80.0303461,positive_first,positive,return,11,11
56,2,Aileron_R,-0,80.0303461,81.2803461,positive_first,negative,outbound,1,11
57,2,Aileron_R,-0.15,81.2803461,82.5303461,positive_first,negative,outbound,2,11
58,2,Aileron_R,-0.3,82.5303461,83.7803461,positive_first,negative,outbound,3,11
59,2,Aileron_R,-0.5,83.7803461,85.0303461,positive_first,negative,outbound,4,11
60,2,Aileron_R,-0.75,85.0303461,86.2803461,positive_first,negative,outbound,5,11
61,2,Aileron_R,-1,86.2803461,87.5303461,positive_first,negative,outbound,6,11
62,2,Aileron_R,-0.75,87.5303461,88.7803461,positive_first,negative,return,7,11
63,2,Aileron_R,-0.5,88.7803461,90.0303461,positive_first,negative,return,8,11
64,2,Aileron_R,-0.3,90.0303461,91.2803461,positive_first,negative,return,9,11
65,2,Aileron_R,-0.15,91.2803461,92.5303461,positive_first,negative,return,10,11
66,2,Aileron_R,-0,92.5303461,93.7803461,positive_first,negative,return,11,11
67,2,Aileron_R,-0,93.7803461,95.0303461,negative_first,negative,outbound,1,11
68,2,Aileron_R,-0.15,95.0303461,96.2803461,negative_first,negative,outbound,2,11
69,2,Aileron_R,-0.3,96.2803461,97.5303461,negative_first,negative,outbound,3,11
70,2,Aileron_R,-0.5,97.5303461,98.7803461,negative_first,negative,outbound,4,11
71,2,Aileron_R,-0.75,98.7803461,100.0303461,negative_first,negative,outbound,5,11
72,2,Aileron_R,-1,100.0303461,101.2803461,negative_first,negative,outbound,6,11
73,2,Aileron_R,-0.75,101.2803461,102.5303461,negative_first,negative,return,7,11
74,2,Aileron_R,-0.5,102.5303461,103.7803461,negative_first,negative,return,8,11
75,2,Aileron_R,-0.3,103.7803461,105.0303461,negative_first,negative,return,9,11
76,2,Aileron_R,-0.15,105.0303461,106.2803461,negative_first,negative,return,10,11
77,2,Aileron_R,-0,106.2803461,107.5303461,negative_first,negative,return,11,11
78,2,Aileron_R,0,107.5303461,108.7803461,negative_first,positive,outbound,1,11
79,2,Aileron_R,0.15,108.7803461,110.0303461,negative_first,positive,outbound,2,11
80,2,Aileron_R,0.3,110.0303461,111.2803461,negative_first,positive,outbound,3,11
81,2,Aileron_R,0.5,111.2803461,112.5303461,negative_first,positive,outbound,4,11
82,2,Aileron_R,0.75,112.5303461,113.7803461,negative_first,positive,outbound,5,11
83,2,Aileron_R,1,113.7803461,115.0303461,negative_first,positive,outbound,6,11
84,2,Aileron_R,0.75,115.0303461,116.2803461,negative_first,positive,return,7,11
85,2,Aileron_R,0.5,116.2803461,117.5303461,negative_first,positive,return,8,11
86,2,Aileron_R,0.3,117.5303461,118.7803461,negative_first,positive,return,9,11
87,2,Aileron_R,0.15,118.7803461,120.0303461,negative_first,positive,return,10,11
88,2,Aileron_R,0,120.0303461,121.2803461,negative_first,positive,return,11,11
89,3,Rudder,0,121.2803461,122.5303461,positive_first,positive,outbound,1,11
90,3,Rudder,0.15,122.5303461,123.7803461,positive_first,positive,outbound,2,11
91,3,Rudder,0.3,123.7803461,125.0303461,positive_first,positive,outbound,3,11
92,3,Rudder,0.5,125.0303461,126.2803461,positive_first,positive,outbound,4,11
93,3,Rudder,0.75,126.2803461,127.5303461,positive_first,positive,outbound,5,11
94,3,Rudder,1,127.5303461,128.7803461,positive_first,positive,outbound,6,11
95,3,Rudder,0.75,128.7803461,130.0303461,positive_first,positive,return,7,11
96,3,Rudder,0.5,130.0303461,131.2803461,positive_first,positive,return,8,11
97,3,Rudder,0.3,131.2803461,132.5303461,positive_first,positive,return,9,11
98,3,Rudder,0.15,132.5303461,133.7803461,positive_first,positive,return,10,11
99,3,Rudder,0,133.7803461,135.0303461,positive_first,positive,return,11,11
100,3,Rudder,-0,135.0303461,136.2803461,positive_first,negative,outbound,1,11
101,3,Rudder,-0.15,136.2803461,137.5303461,positive_first,negative,outbound,2,11
102,3,Rudder,-0.3,137.5303461,138.7803461,positive_first,negative,outbound,3,11
103,3,Rudder,-0.5,138.7803461,140.0303461,positive_first,negative,outbound,4,11
104,3,Rudder,-0.75,140.0303461,141.2803461,positive_first,negative,outbound,5,11
105,3,Rudder,-1,141.2803461,142.5303461,positive_first,negative,outbound,6,11
106,3,Rudder,-0.75,142.5303461,143.7803461,positive_first,negative,return,7,11
107,3,Rudder,-0.5,143.7803461,145.0303461,positive_first,negative,return,8,11
