t_read_host_s,line_text
0.146614,"HELLO_EVENT,Nano33IoT_Command_Path_V1,1000000,947283816"
0.9007861,"RX_EVENT,0,0,948038984,32768,32768,32768,32768"
0.9007861,"OK_EVENT,SET_NEUTRAL"
0.9007861,"COMMIT_EVENT,0,0,948038984,948047650,476747,1500,1500,1500,1500,1500,1500,1500,1500"
6.242603,"RX_EVENT,0,0,953366106,32768,32768,32768,32768"
6.242603,"COMMIT_EVENT,0,0,953366106,953367650,477013,1500,1500,1500,1500,1500,1500,1500,1500"
6.2574922,"RX_EVENT,1,0,953382713,32768,32768,32768,32768"
6.2574922,"COMMIT_EVENT,1,0,953382713,953387650,477014,1500,1500,1500,1500,1500,1500,1500,1500"
6.2692672,"RX_EVENT,2,0,953397282,32768,32768,32768,32768"
6.2692672,"COMMIT_EVENT,2,0,953397282,953407650,477015,1500,1500,1500,1500,1500,1500,1500,1500"
6.2817038,"RX_EVENT,3,0,953411744,32768,32768,32768,32768"
6.2817038,"RX_EVENT,4,0,953423392,32768,32768,32768,32768"
6.2927733,"COMMIT_EVENT,4,0,953423392,953427650,477016,1500,1500,1500,1500,1500,1500,1500,1500"
6.3146141,"RX_EVENT,5,0,953446888,32768,32768,32768,32768"
6.3146141,"COMMIT_EVENT,5,0,953446888,953447650,477017,1500,1500,1500,1500,1500,1500,1500,1500"
6.3146141,"RX_EVENT,6,0,953457486,32768,32768,32768,32768"
6.3265139,"COMMIT_EVENT,6,0,953457486,953467650,477018,1500,1500,1500,1500,1500,1500,1500,1500"
6.3382724,"RX_EVENT,7,0,953480632,32768,32768,32768,32768"
6.3595194,"COMMIT_EVENT,7,0,953480632,953487650,477019,1500,1500,1500,1500,1500,1500,1500,1500"
6.3595194,"RX_EVENT,8,0,953502596,32768,32768,32768,32768"
6.369911,"COMMIT_EVENT,8,0,953502596,953507650,477020,1500,1500,1500,1500,1500,1500,1500,1500"
6.391892,"RX_EVENT,9,0,953524057,32768,32768,32768,32768"
6.391892,"COMMIT_EVENT,9,0,953524057,953527650,477021,1500,1500,1500,1500,1500,1500,1500,1500"
6.4046324,"RX_EVENT,10,0,953546035,32768,32768,32768,32768"
6.4046324,"COMMIT_EVENT,10,0,953546035,953547650,477022,1500,1500,1500,1500,1500,1500,1500,1500"
6.4172663,"RX_EVENT,11,0,953558784,32768,32768,32768,32768"
6.4407133,"COMMIT_EVENT,11,0,953558784,953567650,477023,1500,1500,1500,1500,1500,1500,1500,1500"
6.4527198,"RX_EVENT,12,0,953581326,32768,32768,32768,32768"
6.4527198,"COMMIT_EVENT,12,0,953581326,953587650,477024,1500,1500,1500,1500,1500,1500,1500,1500"
6.4672899,"RX_EVENT,13,0,953606921,32768,32768,32768,32768"
6.4672899,"COMMIT_EVENT,13,0,953606921,953607650,477025,1500,1500,1500,1500,1500,1500,1500,1500"
6.4819005,"RX_EVENT,14,0,953621469,32768,32768,32768,32768"
6.4935625,"COMMIT_EVENT,14,0,953621469,953627650,477026,1500,1500,1500,1500,1500,1500,1500,1500"
6.5060606,"RX_EVENT,15,0,953647699,32768,32768,32768,32768"
6.5284254,"RX_EVENT,16,0,953660246,32768,32768,32768,32768"
6.5284254,"COMMIT_EVENT,16,0,953660246,953667650,477028,1500,1500,1500,1500,1500,1500,1500,1500"
6.5429786,"RX_EVENT,17,0,953682583,32768,32768,32768,32768"
6.5708052,"COMMIT_EVENT,17,0,953682583,953687650,477029,1500,1500,1500,1500,1500,1500,1500,1500"
6.5708052,"RX_EVENT,18,0,953697153,32768,32768,32768,32768"
6.5708052,"COMMIT_EVENT,18,0,953697153,953707650,477030,1500,1500,1500,1500,1500,1500,1500,1500"
6.585863,"RX_EVENT,19,0,953725077,32768,32768,32768,32768"
6.585863,"COMMIT_EVENT,19,0,953725077,953727650,477031,1500,1500,1500,1500,1500,1500,1500,1500"
6.6042785,"RX_EVENT,20,0,953740131,32768,32768,32768,32768"
6.6042785,"COMMIT_EVENT,20,0,953740131,953747650,477032,1500,1500,1500,1500,1500,1500,1500,1500"
6.6213137,"RX_EVENT,21,0,953758622,32768,32768,32768,32768"
6.6370292,"COMMIT_EVENT,21,0,953758622,953767650,477033,1500,1500,1500,1500,1500,1500,1500,1500"
6.6549676,"RX_EVENT,22,0,953791267,32768,32768,32768,32768"
6.6740267,"COMMIT_EVENT,22,0,953791267,953807650,477035,1500,1500,1500,1500,1500,1500,1500,1500"
6.6740267,"RX_EVENT,23,0,953809584,32768,32768,32768,32768"
6.6944589,"COMMIT_EVENT,23,0,953809584,953827650,477036,1500,1500,1500,1500,1500,1500,1500,1500"
6.6944589,"RX_EVENT,24,0,953829176,32768,32768,32768,32768"
6.7161168,"COMMIT_EVENT,24,0,953829176,953847650,477037,1500,1500,1500,1500,1500,1500,1500,1500"
