event_id,surface_index,surface_name,command_before_norm_1,command_before_norm_2,command_before_norm_3,command_before_norm_4,command_after_norm_1,command_after_norm_2,command_after_norm_3,command_after_norm_4,scheduled_start_s,scheduled_end_s,random_seed,repetition_index,step_kind,step_label,latency_method
1,2,Aileron_R,0,0,0,0,0,0.7,0,0,8.5260649,9.1260649,2,1,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
2,2,Aileron_R,0,0.7,0,0,0,0,0,0,9.1260649,9.7260649,2,1,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
3,2,Aileron_R,0,0,0,0,0,-0.7,0,0,9.7260649,10.3260649,2,1,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
4,2,Aileron_R,0,-0.7,0,0,0,0,0,0,10.3260649,10.9260649,2,1,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
5,4,Elevator,0,0,0,0,0,0,0,0.7,10.9260649,11.5260649,2,1,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
6,4,Elevator,0,0,0,0.7,0,0,0,0,11.5260649,12.1260649,2,1,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
7,4,Elevator,0,0,0,0,0,0,0,-0.7,12.1260649,12.7260649,2,1,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
8,4,Elevator,0,0,0,-0.7,0,0,0,0,12.7260649,13.3260649,2,1,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
9,1,Aileron_L,0,0,0,0,0.7,0,0,0,13.3260649,13.9260649,2,1,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
10,1,Aileron_L,0.7,0,0,0,0,0,0,0,13.9260649,14.5260649,2,1,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
11,1,Aileron_L,0,0,0,0,-0.7,0,0,0,14.5260649,15.1260649,2,1,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
12,1,Aileron_L,-0.7,0,0,0,0,0,0,0,15.1260649,15.7260649,2,1,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
13,3,Rudder,0,0,0,0,0,0,0.7,0,15.7260649,16.3260649,2,1,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
14,3,Rudder,0,0,0.7,0,0,0,0,0,16.3260649,16.9260649,2,1,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
15,3,Rudder,0,0,0,0,0,0,-0.7,0,16.9260649,17.5260649,2,1,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
16,3,Rudder,0,0,-0.7,0,0,0,0,0,17.5260649,18.1260649,2,1,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
17,3,Rudder,0,0,0,0,0,0,-0.7,0,18.1260649,18.7260649,2,2,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
18,3,Rudder,0,0,-0.7,0,0,0,0,0,18.7260649,19.3260649,2,2,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
19,3,Rudder,0,0,0,0,0,0,0.7,0,19.3260649,19.9260649,2,2,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
20,3,Rudder,0,0,0.7,0,0,0,0,0,19.9260649,20.5260649,2,2,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
21,2,Aileron_R,0,0,0,0,0,-0.7,0,0,20.5260649,21.1260649,2,2,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
22,2,Aileron_R,0,-0.7,0,0,0,0,0,0,21.1260649,21.7260649,2,2,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
23,2,Aileron_R,0,0,0,0,0,0.7,0,0,21.7260649,22.3260649,2,2,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
24,2,Aileron_R,0,0.7,0,0,0,0,0,0,22.3260649,22.9260649,2,2,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
25,1,Aileron_L,0,0,0,0,-0.7,0,0,0,22.9260649,23.5260649,2,2,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
26,1,Aileron_L,-0.7,0,0,0,0,0,0,0,23.5260649,24.1260649,2,2,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
27,1,Aileron_L,0,0,0,0,0.7,0,0,0,24.1260649,24.7260649,2,2,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
28,1,Aileron_L,0.7,0,0,0,0,0,0,0,24.7260649,25.3260649,2,2,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
29,4,Elevator,0,0,0,0,0,0,0,-0.7,25.3260649,25.9260649,2,2,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
30,4,Elevator,0,0,0,-0.7,0,0,0,0,25.9260649,26.5260649,2,2,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
31,4,Elevator,0,0,0,0,0,0,0,0.7,26.5260649,27.1260649,2,2,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
32,4,Elevator,0,0,0,0.7,0,0,0,0,27.1260649,27.7260649,2,2,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
33,2,Aileron_R,0,0,0,0,0,0.7,0,0,27.7260649,28.3260649,2,3,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
34,2,Aileron_R,0,0.7,0,0,0,0,0,0,28.3260649,28.9260649,2,3,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
