sample_index,sample_sequence,event_id,scheduled_time_s,write_start_host_s,write_stop_host_s,active_surface_index,active_surface_name,active_surface_mask,surface_norm_aileron_l,surface_norm_aileron_r,surface_norm_rudder,surface_norm_elevator,packet_surface_norm_aileron_l,packet_surface_norm_aileron_r,packet_surface_norm_rudder,packet_surface_norm_elevator,packet_code_aileron_l,packet_code_aileron_r,packet_code_rudder,packet_code_elevator,delta_a_cmd_rad,delta_e_cmd_rad,delta_r_cmd_rad,profile_mode,random_seed,description
1,0,NaN,6.2198914,6.3208291,6.322253,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
2,1,NaN,6.2598914,6.3528141,6.3538467,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
3,2,NaN,6.3398914,6.3837304,6.384734,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
4,3,NaN,6.3798914,6.4137756,6.4147127,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
5,4,NaN,6.3998914,6.440887,6.4420985,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
6,5,NaN,6.4398914,6.4750298,6.4765376,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
7,6,NaN,6.4598914,6.5059086,6.5070495,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
8,7,NaN,6.49989139999999,6.5361904,6.5372937,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
9,8,NaN,6.51989139999999,6.5695578,6.5706464,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
10,9,NaN,6.55989139999999,6.598498,6.599831,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
11,10,NaN,6.57989139999999,6.6281093,6.6293195,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
12,11,NaN,6.61989139999999,6.6548401,6.6558854,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
13,12,NaN,6.63989139999999,6.6819117,6.6829347,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
14,13,NaN,6.67989139999999,6.7100485,6.7114851,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
15,14,NaN,6.69989139999999,6.739185,6.7401604,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
16,15,NaN,6.71989139999999,6.7667169,6.7678886,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
17,16,NaN,6.75989139999999,6.7977502,6.7988613,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
18,17,NaN,6.77989139999999,6.8275103,6.8285883,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
19,18,NaN,6.81989139999999,6.8561964,6.8571977,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
20,19,NaN,6.83989139999999,6.8858874,6.8869324,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
21,20,NaN,6.87989139999999,6.9177845,6.919002,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
22,21,NaN,6.89989139999999,6.9545406,6.956881,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
23,22,NaN,6.93989139999999,6.9891307,6.9902004,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
24,23,NaN,6.97989139999998,7.0226188,7.0238477,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
25,24,NaN,7.01989139999998,7.0585491,7.0598603,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
26,25,NaN,7.03989139999998,7.0965852,7.0981864,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
27,26,NaN,7.07989139999998,7.1347367,7.1360489,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
28,27,NaN,7.11989139999998,7.1710559,7.172498,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
29,28,NaN,7.15989139999998,7.203528,7.2046532,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
30,29,NaN,7.19989139999998,7.231582,7.2326763,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
31,30,NaN,7.21989139999998,7.2685328,7.269898,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
32,31,NaN,7.25989139999998,7.3120586,7.3133489,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
33,32,NaN,7.29989139999998,7.3449098,7.3461531,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
34,33,NaN,7.33989139999998,7.3759416,7.3769726,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
35,34,NaN,7.35989139999998,7.4044106,7.4054048,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
36,35,NaN,7.39989139999998,7.4286242,7.4295347,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
37,36,NaN,7.41989139999998,7.4560661,7.4569114,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
38,37,NaN,7.43989139999997,7.4825988,7.4837634,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
39,38,NaN,7.47989139999997,7.5157274,7.5169609,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
40,39,NaN,7.49989139999997,7.5598404,7.5616613,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
41,40,NaN,7.53989139999997,7.6049677,7.6063375,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
42,41,NaN,7.59989139999997,7.6451125,7.646747,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
43,42,NaN,7.63989139999997,7.6878048,7.6892094,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
44,43,NaN,7.67989139999997,7.7259922,7.7272882,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
45,44,NaN,7.71989139999997,7.7644588,7.7658143,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
46,45,NaN,7.75989139999997,7.8049154,7.8062929,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
47,46,NaN,7.79989139999997,7.8423954,7.8436586,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
48,47,NaN,7.83989139999997,7.8756443,7.8766698,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
49,48,NaN,7.85989139999997,7.9056723,7.9067627,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
50,49,NaN,7.89989139999997,7.936493,7.9374939,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
51,50,NaN,7.91989139999997,7.9712058,7.9725351,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
52,51,NaN,7.95989139999996,8.0026549,8.0038925,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
53,52,NaN,7.99989139999996,8.0409014,8.042341,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
54,53,NaN,8.03989139999996,8.0775346,8.0789736,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
55,54,NaN,8.05989139999996,8.1057529,8.106794,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
56,55,NaN,8.09989139999996,8.1353229,8.13651,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
57,56,NaN,8.11989139999996,8.1624495,8.1640354,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
58,57,NaN,8.15989139999996,8.1895029,8.1905617,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
59,58,1,8.17989139999996,8.2314619,8.2330349,2,Aileron_R,1,0,0.7,0,0,0,-0.7,0,-0,32768,9830,32768,32768,NaN,NaN,NaN,latency,2,latency_bang_bang_Aileron_R_step_to_command_+0.700
60,59,1,8.21989139999996,8.2672426,8.2683974,2,Aileron_R,1,0,0.7,0,0,0,-0.7,0,-0,32768,9830,32768,32768,NaN,NaN,NaN,latency,2,latency_bang_bang_Aileron_R_step_to_command_+0.700
61,60,1,8.25989139999996,8.2974885,8.2986265,2,Aileron_R,1,0,0.7,0,0,0,-0.7,0,-0,32768,9830,32768,32768,NaN,NaN,NaN,latency,2,latency_bang_bang_Aileron_R_step_to_command_+0.700
62,61,1,8.27989139999996,8.3235104,8.3246647,2,Aileron_R,1,0,0.7,0,0,0,-0.7,0,-0,32768,9830,32768,32768,NaN,NaN,NaN,latency,2,latency_bang_bang_Aileron_R_step_to_command_+0.700
63,62,1,8.31989139999996,8.3530359,8.3542998,2,Aileron_R,1,0,0.7,0,0,0,-0.7,0,-0,32768,9830,32768,32768,NaN,NaN,NaN,latency,2,latency_bang_bang_Aileron_R_step_to_command_+0.700
64,63,1,8.33989139999996,8.3880568,8.3892075,2,Aileron_R,1,0,0.7,0,0,0,-0.7,0,-0,32768,9830,32768,32768,NaN,NaN,NaN,latency,2,latency_bang_bang_Aileron_R_step_to_command_+0.700
65,64,1,8.37989139999996,8.4195765,8.4208461,2,Aileron_R,1,0,0.7,0,0,0,-0.7,0,-0,32768,9830,32768,32768,NaN,NaN,NaN,latency,2,latency_bang_bang_Aileron_R_step_to_command_+0.700
66,65,1,8.39989139999996,8.4553605,8.4567418,2,Aileron_R,1,0,0.7,0,0,0,-0.7,0,-0,32768,9830,32768,32768,NaN,NaN,NaN,latency,2,latency_bang_bang_Aileron_R_step_to_command_+0.700
