t_read_host_s,line_text
0.1750059,"HELLO_EVENT,Nano33IoT_Command_Path_V1,1000000,1409090155"
0.9406438,"RX_EVENT,0,0,1409853450,32768,32768,32768,32768"
0.9406438,"OK_EVENT,SET_NEUTRAL"
0.9406438,"COMMIT_EVENT,0,0,1409853450,1409862262,70341,1500,1500,1500,1500,1500,1500,1500,1500"
6.352228,"RX_EVENT,0,0,1415250016,32768,32768,32768,32768"
6.352228,"COMMIT_EVENT,0,0,1415250016,1415262262,70611,1500,1500,1500,1500,1500,1500,1500,1500"
6.382994,"RX_EVENT,1,0,1415281627,32768,32768,32768,32768"
6.382994,"COMMIT_EVENT,1,0,1415281627,1415282262,70612,1500,1500,1500,1500,1500,1500,1500,1500"
6.4132674,"RX_EVENT,2,0,1415312553,32768,32768,32768,32768"
6.4132674,"COMMIT_EVENT,2,0,1415312553,1415322262,70614,1500,1500,1500,1500,1500,1500,1500,1500"
6.4404423,"RX_EVENT,3,0,1415342579,32768,32768,32768,32768"
6.4739803,"COMMIT_EVENT,3,0,1415342579,1415362262,70616,1500,1500,1500,1500,1500,1500,1500,1500"
6.4739803,"RX_EVENT,4,0,1415369673,32768,32768,32768,32768"
6.4739803,"COMMIT_EVENT,4,0,1415369673,1415382262,70617,1500,1500,1500,1500,1500,1500,1500,1500"
6.5053171,"RX_EVENT,5,0,1415404335,32768,32768,32768,32768"
6.5053171,"COMMIT_EVENT,5,0,1415404335,1415422262,70619,1500,1500,1500,1500,1500,1500,1500,1500"
6.5356202,"RX_EVENT,6,0,1415434760,32768,32768,32768,32768"
6.5356202,"COMMIT_EVENT,6,0,1415434760,1415442262,70620,1500,1500,1500,1500,1500,1500,1500,1500"
6.568942,"RX_EVENT,7,0,1415465042,32768,32768,32768,32768"
6.568942,"COMMIT_EVENT,7,0,1415465042,1415482262,70622,1500,1500,1500,1500,1500,1500,1500,1500"
6.5977488,"RX_EVENT,8,0,1415498437,32768,32768,32768,32768"
6.5977488,"COMMIT_EVENT,8,0,1415498437,1415502262,70623,1500,1500,1500,1500,1500,1500,1500,1500"
6.6276209,"RX_EVENT,9,0,1415527660,32768,32768,32768,32768"
6.6276209,"COMMIT_EVENT,9,0,1415527660,1415542262,70625,1500,1500,1500,1500,1500,1500,1500,1500"
6.6543416,"RX_EVENT,10,0,1415557066,32768,32768,32768,32768"
6.6543416,"COMMIT_EVENT,10,0,1415557066,1415562262,70626,1500,1500,1500,1500,1500,1500,1500,1500"
6.6813292,"RX_EVENT,11,0,1415583604,32768,32768,32768,32768"
6.6813292,"COMMIT_EVENT,11,0,1415583604,1415602262,70628,1500,1500,1500,1500,1500,1500,1500,1500"
6.7095665,"RX_EVENT,12,0,1415610757,32768,32768,32768,32768"
6.7385836,"COMMIT_EVENT,12,0,1415610757,1415622262,70629,1500,1500,1500,1500,1500,1500,1500,1500"
6.7385836,"RX_EVENT,13,0,1415639313,32768,32768,32768,32768"
6.7385836,"COMMIT_EVENT,13,0,1415639313,1415642262,70630,1500,1500,1500,1500,1500,1500,1500,1500"
6.766163,"RX_EVENT,14,0,1415667969,32768,32768,32768,32768"
6.766163,"COMMIT_EVENT,14,0,1415667969,1415682262,70632,1500,1500,1500,1500,1500,1500,1500,1500"
6.7971433,"RX_EVENT,15,0,1415695759,32768,32768,32768,32768"
6.7971433,"COMMIT_EVENT,15,0,1415695759,1415702262,70633,1500,1500,1500,1500,1500,1500,1500,1500"
6.8269263,"RX_EVENT,16,0,1415726629,32768,32768,32768,32768"
6.8269263,"COMMIT_EVENT,16,0,1415726629,1415742262,70635,1500,1500,1500,1500,1500,1500,1500,1500"
6.8556396,"RX_EVENT,17,0,1415756381,32768,32768,32768,32768"
6.8556396,"COMMIT_EVENT,17,0,1415756381,1415762262,70636,1500,1500,1500,1500,1500,1500,1500,1500"
6.8853055,"RX_EVENT,18,0,1415784982,32768,32768,32768,32768"
6.8853055,"COMMIT_EVENT,18,0,1415784982,1415802262,70638,1500,1500,1500,1500,1500,1500,1500,1500"
6.9171278,"RX_EVENT,19,0,1415814752,32768,32768,32768,32768"
6.9171278,"COMMIT_EVENT,19,0,1415814752,1415822262,70639,1500,1500,1500,1500,1500,1500,1500,1500"
6.9537347,"RX_EVENT,20,0,1415846822,32768,32768,32768,32768"
6.9537347,"COMMIT_EVENT,20,0,1415846822,1415862262,70641,1500,1500,1500,1500,1500,1500,1500,1500"
6.9884918,"RX_EVENT,21,0,1415884594,32768,32768,32768,32768"
6.9884918,"COMMIT_EVENT,21,0,1415884594,1415902262,70643,1500,1500,1500,1500,1500,1500,1500,1500"
7.0219637,"RX_EVENT,22,0,1415918036,32768,32768,32768,32768"
7.0219637,"COMMIT_EVENT,22,0,1415918036,1415922262,70644,1500,1500,1500,1500,1500,1500,1500,1500"
7.0576947,"RX_EVENT,23,0,1415951509,32768,32768,32768,32768"
7.0576947,"COMMIT_EVENT,23,0,1415951509,1415962262,70646,1500,1500,1500,1500,1500,1500,1500,1500"
7.0955094,"RX_EVENT,24,0,1415987574,32768,32768,32768,32768"
7.0955094,"COMMIT_EVENT,24,0,1415987574,1416002262,70648,1500,1500,1500,1500,1500,1500,1500,1500"
7.134032,"RX_EVENT,25,0,1416025890,32768,32768,32768,32768"
7.134032,"COMMIT_EVENT,25,0,1416025890,1416042262,70650,1500,1500,1500,1500,1500,1500,1500,1500"
7.1703576,"RX_EVENT,26,0,1416063758,32768,32768,32768,32768"
7.1703576,"COMMIT_EVENT,26,0,1416063758,1416082262,70652,1500,1500,1500,1500,1500,1500,1500,1500"
7.2027226,"RX_EVENT,27,0,1416100216,32768,32768,32768,32768"
7.2027226,"COMMIT_EVENT,27,0,1416100216,1416102262,70653,1500,1500,1500,1500,1500,1500,1500,1500"
7.2309486,"RX_EVENT,28,0,1416132437,32768,32768,32768,32768"
7.2309486,"COMMIT_EVENT,28,0,1416132437,1416142262,70655,1500,1500,1500,1500,1500,1500,1500,1500"
7.2676765,"RX_EVENT,29,0,1416160473,32768,32768,32768,32768"
7.2676765,"COMMIT_EVENT,29,0,1416160473,1416162262,70656,1500,1500,1500,1500,1500,1500,1500,1500"
7.3111425,"RX_EVENT,30,0,1416197571,32768,32768,32768,32768"
7.3111425,"COMMIT_EVENT,30,0,1416197571,1416202262,70658,1500,1500,1500,1500,1500,1500,1500,1500"
7.344321,"RX_EVENT,31,0,1416241120,32768,32768,32768,32768"
7.344321,"COMMIT_EVENT,31,0,1416241120,1416242262,70660,1500,1500,1500,1500,1500,1500,1500,1500"
7.3753515,"RX_EVENT,32,0,1416273756,32768,32768,32768,32768"
7.3753515,"COMMIT_EVENT,32,0,1416273756,1416282262,70662,1500,1500,1500,1500,1500,1500,1500,1500"
7.4037021,"RX_EVENT,33,0,1416304784,32768,32768,32768,32768"
7.4037021,"COMMIT_EVENT,33,0,1416304784,1416322262,70664,1500,1500,1500,1500,1500,1500,1500,1500"
7.4280965,"RX_EVENT,34,0,1416333274,32768,32768,32768,32768"
7.4280965,"COMMIT_EVENT,34,0,1416333274,1416342263,70665,1500,1500,1500,1500,1500,1500,1500,1500"
7.455529,"RX_EVENT,35,0,1416357379,32768,32768,32768,32768"
7.455529,"COMMIT_EVENT,35,0,1416357379,1416362262,70666,1500,1500,1500,1500,1500,1500,1500,1500"
7.4820866,"RX_EVENT,36,0,1416384836,32768,32768,32768,32768"
7.4820866,"COMMIT_EVENT,36,0,1416384836,1416402262,70668,1500,1500,1500,1500,1500,1500,1500,1500"
7.5150783,"RX_EVENT,37,0,1416411347,32768,32768,32768,32768"
7.5150783,"COMMIT_EVENT,37,0,1416411347,1416422262,70669,1500,1500,1500,1500,1500,1500,1500,1500"
7.5587661,"RX_EVENT,38,0,1416444684,32768,32768,32768,32768"
7.5587661,"COMMIT_EVENT,38,0,1416444684,1416462262,70671,1500,1500,1500,1500,1500,1500,1500,1500"
7.604051,"RX_EVENT,39,0,1416489172,32768,32768,32768,32768"
7.604051,"COMMIT_EVENT,39,0,1416489172,1416502262,70673,1500,1500,1500,1500,1500,1500,1500,1500"
7.6443203,"RX_EVENT,40,0,1416534022,32768,32768,32768,32768"
7.6443203,"COMMIT_EVENT,40,0,1416534022,1416542262,70675,1500,1500,1500,1500,1500,1500,1500,1500"
7.6869505,"RX_EVENT,41,0,1416574305,32768,32768,32768,32768"
7.6869505,"COMMIT_EVENT,41,0,1416574305,1416582262,70677,1500,1500,1500,1500,1500,1500,1500,1500"
7.7251799,"RX_EVENT,42,0,1416616848,32768,32768,32768,32768"
7.7251799,"COMMIT_EVENT,42,0,1416616848,1416622262,70679,1500,1500,1500,1500,1500,1500,1500,1500"
7.7636235,"RX_EVENT,43,0,1416654979,32768,32768,32768,32768"
7.7636235,"COMMIT_EVENT,43,0,1416654979,1416662262,70681,1500,1500,1500,1500,1500,1500,1500,1500"
7.804127,"RX_EVENT,44,0,1416693527,32768,32768,32768,32768"
7.804127,"COMMIT_EVENT,44,0,1416693527,1416702262,70683,1500,1500,1500,1500,1500,1500,1500,1500"
7.8415784,"RX_EVENT,45,0,1416733881,32768,32768,32768,32768"
7.8415784,"COMMIT_EVENT,45,0,1416733881,1416742262,70685,1500,1500,1500,1500,1500,1500,1500,1500"
7.8749605,"RX_EVENT,46,0,1416771419,32768,32768,32768,32768"
7.8749605,"COMMIT_EVENT,46,0,1416771419,1416782262,70687,1500,1500,1500,1500,1500,1500,1500,1500"
7.9050911,"RX_EVENT,47,0,1416804502,32768,32768,32768,32768"
7.9358308,"COMMIT_EVENT,47,0,1416804502,1416822262,70689,1500,1500,1500,1500,1500,1500,1500,1500"
7.9358308,"RX_EVENT,48,0,1416834530,32768,32768,32768,32768"
7.9358308,"COMMIT_EVENT,48,0,1416834530,1416842262,70690,1500,1500,1500,1500,1500,1500,1500,1500"
7.9701097,"RX_EVENT,49,0,1416865313,32768,32768,32768,32768"
7.9701097,"COMMIT_EVENT,49,0,1416865313,1416882262,70692,1500,1500,1500,1500,1500,1500,1500,1500"
8.0017106,"RX_EVENT,50,0,1416900276,32768,32768,32768,32768"
8.0017106,"COMMIT_EVENT,50,0,1416900276,1416902262,70693,1500,1500,1500,1500,1500,1500,1500,1500"
8.0402295,"RX_EVENT,51,0,1416931617,32768,32768,32768,32768"
